location,Базель,Базель,Базель,Базель
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Базель Temperature [2 m elevation corrected],Базель Relative Humidity [2 m],Базель Wind Speed [10 m],Базель Wind Direction [10 m]
20220116T1500,5.4705286,50.0,18.175545,277.9696
20220116T1600,4.9705286,54.0,14.759999,282.6804
20220116T1700,3.7505286,61.0,12.0694,287.35403
20220116T1800,3.4505286,64.0,11.183201,266.30862
20220116T1900,3.0805285,66.0,10.829959,254.57785
20220116T2000,3.2605286,66.0,10.163227,247.0679
20220116T2100,3.5505285,67.0,8.0899935,237.72437
20220116T2200,3.5105286,70.0,6.297428,210.96376
20220116T2300,3.3905284,75.0,4.6102495,218.65982
20220117T0000,2.9405286,81.0,3.8268526,221.18593
20220117T0100,3.2605286,83.0,4.8433046,228.01279
20220117T0200,4.0805287,77.0,7.0911775,246.0375
20220117T0300,4.290529,78.0,12.864649,252.07208
20220117T0400,4.1705284,82.0,15.745627,259.46082
20220117T0500,4.2305284,83.0,14.04,270.0
20220117T0600,4.040529,85.0,14.081478,274.3987
20220117T0700,3.6705287,86.0,14.044615,271.4688
20220117T0800,3.4805286,87.0,12.24,270.0
20220117T0900,3.7905285,85.0,12.959999,270.0
20220117T1000,4.6805286,81.0,14.04,270.0
20220117T1100,5.5705285,77.0,13.75558,276.009
20220117T1200,6.3605285,75.0,15.281989,285.01837
20220117T1300,6.3905287,69.0,14.869351,276.95297
20220117T1400,6.7405286,68.0,15.281989,285.01837
20220117T1500,6.8405285,68.0,15.629971,284.6764
20220117T1600,6.5205283,69.0,15.042659,291.0375
20220117T1700,5.4505286,74.0,11.384199,288.43497
20220117T1800,4.0505285,83.0,11.159999,270.0
20220117T1900,3.1905286,87.0,9.531505,259.11447
20220117T2000,2.8805285,88.0,7.754637,248.1986
20220117T2100,2.9505286,87.0,6.696387,233.74615
20220117T2200,3.3305285,85.0,4.1046314,217.87498
20220117T2300,3.2005286,85.0,2.5455842,171.8699
20220118T0000,3.0205286,86.0,2.3051248,141.34018
20220118T0100,2.8305285,87.0,4.1046314,105.25512
20220118T0200,2.6305285,87.0,6.519877,96.34019
20220118T0300,1.6805286,91.0,7.5685663,92.72631
20220118T0400,0.6905287,94.0,7.968939,108.434944
20220118T0500,0.99052864,91.0,7.5942082,121.429565
20220118T0600,0.6905287,93.0,4.3498964,114.44395
20220118T0700,0.7605287,93.0,4.0249224,100.30484
20220118T0800,0.30052868,95.0,4.6938252,94.398705
20220118T0900,0.60052866,93.0,4.6938252,94.398705
20220118T1000,1.6305287,87.0,4.379589,80.537674
20220118T1100,3.8905284,77.0,13.009903,75.57923
20220118T1200,5.5505285,67.0,19.483284,73.90918
20220118T1300,6.2605286,64.0,16.311613,67.96376
20220118T1400,6.8005285,62.0,15.379206,73.68614
20220118T1500,6.7305284,61.0,14.417988,87.137596
20220118T1600,6.1905284,64.0,12.24,89.99999
20220118T1700,4.8405285,71.0,12.015589,98.61565
20220118T1800,3.3905284,77.0,11.966953,96.911224
20220118T1900,2.3105285,81.0,9.793058,107.10272
20220118T2000,1.5505286,83.0,8.217153,118.81079
20220118T2100,0.86052865,84.0,7.386582,136.97493
20220118T2200,0.73052865,84.0,8.287822,124.38034
20220118T2300,0.5805287,85.0,10.514218,128.04704
20220119T0000,0.30052868,86.0,10.685391,122.61925
20220119T0100,0.18052867,86.0,11.435313,118.17859
20220119T0200,0.25052866,85.0,12.979984,123.69006
20220119T0300,-0.38947132,89.0,11.983188,122.73523
20220119T0400,-0.82947135,91.0,9.826088,118.442924
20220119T0500,-1.0094713,92.0,9.339208,117.55281
20220119T0600,-0.9894713,91.0,10.028439,111.03751
20220119T0700,-0.83947134,89.0,10.587917,107.818886
20220119T0800,-0.82947135,87.0,8.766573,109.17901
20220119T0900,-0.069471344,82.0,8.766573,109.17901
20220119T1000,2.4705286,76.0,5.3999996,216.8699
20220119T1100,5.5205283,76.0,16.808569,260.1342
20220119T1200,5.290529,74.0,18.888851,262.3332
20220119T1300,6.4605284,66.0,14.04,270.0
20220119T1400,7.3505287,63.0,16.954432,266.34778
20220119T1500,7.3005285,63.0,20.16,270.0
20220119T1600,6.5805287,64.0,20.774214,278.97263
20220119T1700,5.1005287,69.0,17.414476,277.125
20220119T1800,3.5905285,77.0,12.599999,270.0
20220119T1900,2.6005285,84.0,13.138765,260.5377
20220119T2000,1.8905287,85.0,13.450708,254.47589
20220119T2100,1.7705287,85.0,13.276144,257.4712
20220119T2200,2.0205286,87.0,10.8955765,262.40536
20220119T2300,2.2705286,89.0,14.05845,272.93567
20220120T0000,2.3005285,87.0,16.23596,266.1859
20220120T0100,2.2905285,85.0,17.76081,252.29958
20220120T0200,2.6205285,80.0,20.12461,259.69516
20220120T0300,2.4605286,85.0,19.959719,262.74683
20220120T0400,2.4105287,86.0,19.839235,258.48618
20220120T0500,2.2905285,88.0,19.813087,267.91745
20220120T0600,1.6005287,92.0,18.014393,272.29062
20220120T0700,1.6505287,91.0,19.652176,278.42697
20220120T0800,1.3105286,92.0,20.082708,284.53445
20220120T0900,1.5305287,91.0,18.1041,287.35403
20220120T1000,2.6305285,85.0,14.4,306.8699
20220120T1100,3.4005284,80.0,11.983188,327.26477
20220120T1200,4.1905284,74.0,13.0447235,332.02054
20220120T1300,4.540529,72.0,17.654686,286.58734
20220120T1400,4.790529,71.0,18.1041,287.35403
20220120T1500,4.8505287,69.0,18.335276,313.40887
20220120T1600,3.9905286,78.0,20.037485,342.21613
20220120T1700,3.7005286,64.0,22.608458,350.83765
20220120T1800,2.4805286,64.0,17.057314,352.725
20220120T1900,1.0305287,74.0,13.009903,345.57922
20220120T2000,0.23052865,79.0,8.557102,337.75098
20220120T2100,-0.08947134,81.0,6.1305785,319.76367
20220120T2200,-0.25947133,81.0,5.3517847,317.72632
20220120T2300,-0.46947134,83.0,6.28713,336.37064
20220121T0000,-0.50947136,83.0,6.725354,344.4759
20220121T0100,-0.76947135,86.0,6.379216,343.61047
20220121T0200,-1.0094713,89.0,6.9899354,348.11133
20220121T0300,-1.3194714,91.0,6.5693827,350.5377
20220121T0400,-1.5294713,92.0,5.506941,11.309921
20220121T0500,-1.6794714,92.0,4.8433046,48.01277
20220121T0600,-1.8994713,89.0,5.8048253,82.874985
20220121T0700,-2.0894713,83.0,6.2145634,100.00798
20220121T0800,-2.4894714,87.0,4.6938257,147.52881
20220121T0900,-2.4694715,87.0,2.9024127,187.12502
20220121T1000,-1.4494714,80.0,2.0991426,239.03624
20220121T1100,-0.58947134,74.0,2.2768397,341.56506
